date,X000001,X000166,X000686,X000712,X000728,X000750,X000776,X000783,X002142,X002500,X002673,X002736,X600000,X600015,X600016,X600030,X600036,X600061,X600109,X600369,X600837,X600958,X600999,X601009,X601099,X601166,X601169,X601198,X601211,X601288,X601318,X601328,X601336,X601377,X601398,X601555,X601601,X601628,X601688,X601788,X601818,X601901,X601939,X601988,X601998
2016/1/4,11.33,9.69,15.76,26.21,20.33,11.57,17.52,11.18,14.39,13.73,29.62,17.88,17.8,11.43,9.03,17.45,17.28,23.34,14.53,8.91,14.28,20.98,19.62,16.5,8.84,16.43,10.02,26.97,21.89,3.12,34.05,6.07,47,9.25,4.45,14.46,27.2,26.27,17.75,20.66,4.06,8.64,5.6,3.87,6.76
2016/1/5,11.4,9.67,15.55,25.64,19.74,11.44,17.76,11.26,14.58,13.67,29.76,18.02,17.96,11.49,9.12,17.65,17.23,23.4,14.52,9.2,14.33,20.59,19.64,16.59,8.74,16.66,10.08,26.9,21.78,3.16,34.5,6.16,48.06,9.15,4.47,14.24,27.68,26.85,17.57,20.88,4.08,8.62,5.58,3.86,6.76
2016/1/6,11.53,9.87,15.7,26.55,19.95,11.72,18.15,11.31,14.9,13.83,29.81,18.25,18.1,11.51,9.15,17.93,17.31,23.6,15.21,9.3,14.58,20.9,19.96,16.77,8.89,16.75,10.28,27.3,22.29,3.18,34.53,6.21,48.11,9.05,4.51,14.52,27.97,26.92,17.8,21.16,4.13,8.81,5.64,3.89,6.84
2016/1/7,10.94,9,14.13,23.9,17.97,10.55,16.51,10.28,13.86,12.45,26.94,16.59,17.51,10.73,8.6,16.34,16.67,21.26,13.71,8.42,13.23,18.86,18.09,15.65,8,16.33,9.86,24.57,20.32,3.11,33.77,5.94,43.57,9.32,4.43,13.07,25.58,25.03,16.04,19.06,3.96,7.94,5.49,3.79,6.39
2016/1/8,11.12,9.21,14.36,24.5,18.23,10.77,16.93,10.5,14.16,13.02,28.4,16.96,17.49,10.83,8.7,16.83,16.81,22.46,14.02,8.62,13.51,19.54,18.51,16.18,8.33,16.44,10.24,26.76,21.04,3.16,33.94,6.03,45.38,9.36,4.46,13.3,26.55,25.44,16.48,19.49,4.03,8.24,5.54,3.8,6.53
2016/1/11,10.76,8.63,12.94,22.05,16.47,9.93,15.6,9.83,13.38,11.73,25.56,15.58,17.05,10.34,8.46,15.68,16.04,20.44,12.62,7.9,12.54,18.23,16.79,15.41,7.53,15.8,10.12,25.6,19.6,3.09,32.03,5.8,42.15,8.42,4.32,11.97,25.41,23.64,15.1,17.54,3.86,7.52,5.3,3.65,6.5
2016/1/12,10.81,8.81,13.4,21.97,16.85,10.06,15.85,10.2,13.47,12,26.42,15.85,17.45,10.34,8.47,15.89,15.98,21.15,12.71,8.13,12.71,18.68,16.92,15.5,7.6,15.79,9.97,27.04,19.84,3.13,32.21,5.81,42.46,8.54,4.32,12.08,25.92,23.83,15.14,17.81,3.88,7.7,5.27,3.63,6.52
2016/1/13,10.71,8.7,13.35,21.16,16.9,9.82,15.7,10.18,13.24,12,27.29,16.02,17.39,10.07,8.45,15.89,15.87,21.5,12.55,8.02,12.59,18.5,16.65,15.23,7.35,15.7,9.95,26.94,19.67,3.12,31.99,5.75,41.25,8.32,4.3,12.17,25.72,23.33,15.02,17.63,3.83,7.63,5.2,3.58,6.27
2016/1/14,10.77,8.93,13.93,21.55,17.66,10.08,16.29,10.56,13.5,12.36,28.45,16.9,17.92,10.15,8.49,16.29,15.89,22.54,12.88,8.25,12.86,19.07,17.1,15.46,7.57,15.68,10,28.08,20.16,3.12,31.99,5.76,42.09,8.52,4.31,12.69,26.04,23.7,15.53,18.15,3.83,7.82,5.21,3.59,6.32
2016/1/15,10.46,8.71,13.52,19.67,17.5,9.62,15.8,10.3,13.2,12.64,27.41,16.24,17.58,9.83,8.47,15.55,15.48,21.65,12.2,8.32,12.6,18.26,16.49,15.69,6.7,15.43,9.96,26.97,19.31,3.07,31.2,5.56,39.29,8.16,4.23,12.27,25.59,23.25,14.96,17.22,3.7,7.48,5.09,3.48,6.03
